cycle,episode_id,failure_mode,timestamp,elapsed_s,preliminary_severity,severity_raw,severity_weighted_score,severity_critical_count,severity_warning_count,severity_blast_size,severity_reason,predicted_failure,prediction_probability,dominant_state,vote_distribution,window_margin,window_full,window_size
1,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.4696443,0.0,P4,,,,,,,CACHE_STAMPEDE,0.53,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 1},1,False,1
2,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.5098264,2.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 2},2,False,2
3,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.5499346,4.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 3},3,False,3
4,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.590354,6.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 4},4,False,4
5,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.630527,8.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 5},5,False,5
6,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.6711943,10.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 6},6,False,6
7,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.7115893,12.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 7},7,False,7
8,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.752334,14.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 8},8,False,8
9,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.7927809,16.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 9},9,False,9
10,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.8332937,18.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
11,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.8740227,20.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
12,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.9143393,22.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
13,ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,1785697906.9545462,24.0,P4,,,,,,,CACHE_STAMPEDE,1.0,CACHE_STAMPEDE,{'CACHE_STAMPEDE': 10},10,True,10
