episode_id,failure_mode,elapsed_s,preliminary_severity,forecast_confidence,time_to_failure,earliest_ttf_feature,impact_band,urgency_band,gate_passed,candidate_severity,revised_severity,is_escalated,is_deescalated,dwell_count,reason
ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,238.0,P1,0.3011,0.0,cache_miss_rate,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=0.0s, conf=0.30, gate=FAIL) -> candidate=P2, revised=P2"
ep_00002_CACHE_STAMPEDE,CACHE_STAMPEDE,238.0,P1,0.3001,0.0,cache_miss_rate,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=0.0s, conf=0.30, gate=FAIL) -> candidate=P2, revised=P2"
ep_00003_BAD_DEPLOY,BAD_DEPLOY,238.0,P1,0.3082,0.0,error_rate,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=0.0s, conf=0.31, gate=FAIL) -> candidate=P2, revised=P2"
ep_00004_CPU_SATURATION,CPU_SATURATION,238.0,P1,0.3004,0.0,cpu_utilization,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=0.0s, conf=0.30, gate=FAIL) -> candidate=P2, revised=P2"
ep_00005_BAD_DEPLOY,BAD_DEPLOY,238.0,P1,0.3151,0.0,error_rate,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=0.0s, conf=0.32, gate=FAIL) -> candidate=P2, revised=P2"
ep_00006_QUEUE_BACKUP,QUEUE_BACKUP,238.0,P1,1.0,0.0,thread_pool_queue,High,Imminent,True,P1,P1,False,False,0,"Impact=High (P1), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P1, revised=P1"
ep_00007_DB_SLOWDOWN,DB_SLOWDOWN,238.0,P2,1.0,0.0,db_connection_wait,High,Imminent,True,P1,P1,False,False,0,"Impact=High (P2), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P1, revised=P1"
ep_00009_CPU_SATURATION,CPU_SATURATION,238.0,P1,0.3,0.0,cpu_utilization,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=0.0s, conf=0.30, gate=FAIL) -> candidate=P2, revised=P2"
ep_00010_MEMORY_LEAK,MEMORY_LEAK,238.0,P2,1.0,6384.0,memory_utilization,High,Distant,True,P2,P2,False,False,0,"Impact=High (P2), Urgency=Distant (ttf=6384.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00011_DB_SLOWDOWN,DB_SLOWDOWN,238.0,P2,1.0,0.0,db_connection_wait,High,Imminent,True,P1,P1,False,False,0,"Impact=High (P2), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P1, revised=P1"
ep_00012_DISK_IO_SATURATION,DISK_IO_SATURATION,238.0,P1,0.3268,4513.68,queue_lag,High,Distant,False,P2,P2,False,False,0,"Impact=High (P1), Urgency=Distant (ttf=4513.68s, conf=0.33, gate=FAIL) -> candidate=P2, revised=P2"
