episode_id,failure_mode,elapsed_s,algorithm_used,history_steps,time_to_failure,earliest_ttf_feature,forecast_confidence,confidence_reason,threshold_crossed,feature_ttfs_json,feature_slopes_json,current_values_json,predictions_json,critical_thresholds_json
ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,238.0,pmdarima,120,0.0,cache_miss_rate,1.0,pmdarima auto_arima: noise_ratio=0.0993 -> fit_quality=0.7000; 120/20 history cycles -> data_quality=0.3000; total confidence=1.0000,True,"{""cache_miss_rate"": 0.0, ""db_p99"": 11765.81}","{""cache_miss_rate"": 0.0, ""db_p99"": 0.036315}","{""cache_miss_rate"": 0.9124, ""db_p99"": 72.73, ""cache_hit_rate"": 0.0876, ""active_connections"": 206.0, ""p99_latency"": 87.28}","{""cache_miss_rate"": [0.911, 0.9096, 0.9081, 0.9067, 0.9053, 0.9038, 0.9024, 0.901, 0.8996, 0.8981], ""db_p99"": [77.7258, 81.1229, 81.8315, 81.2243, 80.5843, 80.3438, 80.3853, 80.4907, 80.5491, 80.5549], ""cache_hit_rate"": [0.076, 0.0621, 0.0507, 0.0415, 0.0339, 0.0277, 0.0226, 0.0185, 0.0151, 0.0124], ""active_connections"": [204.8082, 203.6148, 202.4283, 201.2487, 200.076, 198.9102, 197.7511, 196.5988, 195.4532, 194.3143], ""p99_latency"": [93.2726, 97.3474, 98.197, 97.4684, 96.7006, 96.4121, 96.4621, 96.5885, 96.6585, 96.6655]}","{""cache_miss_rate"": 0.9, ""db_p99"": 500.0}"
ep_00003_DISK_IO_SATURATION,DISK_IO_SATURATION,238.0,pmdarima,120,33636.57,disk_read_latency,1.0,pmdarima auto_arima: noise_ratio=0.0284 -> fit_quality=0.7000; 120/20 history cycles -> data_quality=0.3000; total confidence=1.0000,True,"{""iops_utilization"": 146840.33, ""queue_lag"": null, ""disk_read_latency"": 33636.57, ""disk_write_latency"": null}","{""iops_utilization"": 0.000641, ""queue_lag"": -0.778323, ""disk_read_latency"": 0.012269, ""disk_write_latency"": -4.063547}","{""iops_utilization"": 0.8887, ""queue_lag"": 15.0, ""disk_read_latency"": 87.32, ""disk_write_latency"": 100.92, ""rps"": 238.63, ""p99_latency"": 556.85}","{""iops_utilization"": [0.895, 0.9185, 0.9185, 0.9185, 0.9185, 0.9185, 0.9185, 0.9185, 0.9185, 0.9185], ""queue_lag"": [16.2412, 10.9249, 7.3488, 4.9433, 3.3251, 2.2367, 1.5045, 1.0121, 0.6808, 0.4579], ""disk_read_latency"": [96.1031, 101.792, 102.3957, 100.791, 99.5399, 99.2924, 99.571, 99.8383, 99.9137, 99.8688], ""disk_write_latency"": [92.2948, 76.3732, 63.1983, 52.2961, 43.2746, 35.8094, 29.632, 24.5202, 20.2903, 16.7901], ""rps"": [239.1806, 203.2006, 203.2006, 203.2006, 203.2006, 203.2006, 203.2006, 203.2006, 203.2006, 203.2006], ""p99_latency"": [556.8056, 682.1454, 682.1454, 682.1454, 682.1454, 682.1454, 682.1454, 682.1454, 682.1454, 682.1454]}","{""iops_utilization"": 95.0, ""queue_lag"": 50.0, ""disk_read_latency"": 500.0, ""disk_write_latency"": 500.0}"
ep_00004_LATENCY_SPIKE,LATENCY_SPIKE,238.0,pmdarima,120,43346.96,p95_latency,0.4082,pmdarima auto_arima: noise_ratio=0.4459 -> fit_quality=0.1082; 120/20 history cycles -> data_quality=0.3000; total confidence=0.4082,True,"{""p99_latency"": 1577933.22, ""p95_latency"": 43346.96}","{""p99_latency"": 0.000368, ""p95_latency"": 0.008978}","{""p99_latency"": 119.99, ""p95_latency"": 110.81, ""gc_pause_p99"": 7.81, ""p50_latency"": 95.96, ""error_rate"": 0.01}","{""p99_latency"": [130.6443, 137.3883, 137.8615, 135.7585, 134.2587, 134.0586, 134.4662, 134.7955, 134.8588, 134.7815], ""p95_latency"": [112.7058, 113.9592, 114.1647, 113.8887, 113.6386, 113.564, 113.5969, 113.6431, 113.6629, 113.6608], ""gc_pause_p99"": [28.1629, 41.0588, 41.9723, 37.9527, 35.08, 34.6932, 35.4724, 36.1041, 36.2265, 36.0788], ""p50_latency"": [89.3821, 85.9114, 87.4005, 89.9381, 90.5254, 89.5543, 88.7455, 88.8089, 89.2507, 89.4517], ""error_rate"": [0.0113, 0.0121, 0.0123, 0.0123, 0.0123, 0.0123, 0.0123, 0.0123, 0.0123, 0.0123]}","{""p99_latency"": 700.0, ""p95_latency"": 500.0}"
ep_00005_ERROR_STORM,ERROR_STORM,238.0,pmdarima,120,363.7,error_rate,0.9253,pmdarima auto_arima: noise_ratio=0.1873 -> fit_quality=0.6253; 120/20 history cycles -> data_quality=0.3000; total confidence=0.9253,True,"{""error_rate"": 363.7, ""http_5xx_rate"": 845.44}","{""error_rate"": 0.000442, ""http_5xx_rate"": 0.000311}","{""error_rate"": 0.3392, ""http_5xx_rate"": 0.2374, ""network_errors"": 10.0, ""rps"": 177.7, ""p99_latency"": 139.87}","{""error_rate"": [0.3885, 0.4222, 0.4298, 0.4246, 0.4187, 0.4163, 0.4164, 0.4173, 0.4179, 0.418], ""http_5xx_rate"": [0.2719, 0.2955, 0.3009, 0.2972, 0.2931, 0.2914, 0.2915, 0.2921, 0.2925, 0.2926], ""network_errors"": [9.9163, 9.8601, 9.8494, 9.8601, 9.8708, 9.8745, 9.8735, 9.8717, 9.8708, 9.8708], ""rps"": [193.3261, 202.4162, 201.2717, 196.8641, 194.7712, 195.3681, 196.5768, 197.0343, 196.8028, 196.4799], ""p99_latency"": [138.5447, 137.2101, 135.8882, 134.5791, 133.2826, 131.9987, 130.727, 129.4676, 128.2204, 126.9852]}","{""error_rate"": 0.5, ""http_5xx_rate"": 0.5}"
ep_00006_MEMORY_LEAK,MEMORY_LEAK,238.0,pmdarima,120,5190.83,memory_utilization,1.0,pmdarima auto_arima: noise_ratio=0.0914 -> fit_quality=0.7000; 120/20 history cycles -> data_quality=0.3000; total confidence=1.0000,True,"{""heap_mb"": null, ""memory_utilization"": 5190.83}","{""heap_mb"": 0.0, ""memory_utilization"": 0.00012}","{""heap_mb"": 568.5, ""memory_utilization"": 0.2771, ""gc_pause_p99"": 33.63, ""error_rate"": 0.0113, ""rps"": 212.45}","{""heap_mb"": [568.5, 568.5, 568.5, 568.5, 568.5, 568.5, 568.5, 568.5, 568.5, 568.5], ""memory_utilization"": [0.2817, 0.285, 0.2842, 0.2838, 0.2842, 0.2845, 0.2847, 0.2849, 0.2851, 0.2853], ""gc_pause_p99"": [33.63, 28.7299, 28.7299, 28.7299, 28.7299, 28.7299, 28.7299, 28.7299, 28.7299, 28.7299], ""error_rate"": [0.0113, 0.0086, 0.0086, 0.0086, 0.0086, 0.0086, 0.0086, 0.0086, 0.0086, 0.0086], ""rps"": [211.5147, 197.3684, 197.3684, 197.3684, 197.3684, 197.3684, 197.3684, 197.3684, 197.3684, 197.3684]}","{""heap_mb"": 3500.0, ""memory_utilization"": 0.9}"
ep_00007_CASCADING_FAILURE,CASCADING_FAILURE,238.0,pmdarima,120,0.0,p99_latency,1.0,pmdarima auto_arima: noise_ratio=0.1320 -> fit_quality=0.7000; 120/20 history cycles -> data_quality=0.3000; total confidence=1.0000,True,"{""p99_latency"": 0.0, ""error_rate"": 0.0, ""cpu_utilization"": null}","{""p99_latency"": 0.0, ""error_rate"": 0.0, ""cpu_utilization"": -0.134031}","{""p99_latency"": 1581.64, ""error_rate"": 0.5997, ""cpu_utilization"": 80.19, ""db_p99"": 310.89, ""active_connections"": 333.0, ""cache_miss_rate"": 0.6855}","{""p99_latency"": [1576.7162, 1571.7629, 1566.8252, 1561.9029, 1556.9962, 1552.1048, 1547.2288, 1542.3682, 1537.5228, 1532.6926], ""error_rate"": [0.6044, 0.6187, 0.6187, 0.6187, 0.6187, 0.6187, 0.6187, 0.6187, 0.6187, 0.6187], ""cpu_utilization"": [79.9332, 79.6615, 79.3907, 79.1208, 78.8518, 78.5838, 78.3166, 78.0504, 77.7851, 77.5206], ""db_p99"": [310.89, 310.89, 310.89, 310.89, 310.89, 310.89, 310.89, 310.89, 310.89, 310.89], ""active_connections"": [331.2197, 329.4286, 327.6472, 325.8754, 324.1133, 322.3606, 320.6174, 318.8837, 317.1593, 315.4442], ""cache_miss_rate"": [0.6849, 0.6843, 0.6838, 0.6832, 0.6827, 0.6821, 0.6815, 0.681, 0.6804, 0.6799]}","{""p99_latency"": 1500.0, ""error_rate"": 0.5, ""cpu_utilization"": 90.0}"
ep_00008_LATENCY_SPIKE,LATENCY_SPIKE,238.0,pmdarima,120,,,0.4243,pmdarima auto_arima: noise_ratio=0.4378 -> fit_quality=0.1243; 120/20 history cycles -> data_quality=0.3000; total confidence=0.4243,False,"{""p99_latency"": null, ""p95_latency"": null}","{""p99_latency"": -1.23411, ""p95_latency"": -0.183915}","{""p99_latency"": 98.6, ""p95_latency"": 96.53, ""gc_pause_p99"": 21.97, ""p50_latency"": 92.51, ""error_rate"": 0.0213}","{""p99_latency"": [25.8522, 17.1215, 11.3394, 7.5099, 4.9737, 3.294, 2.1816, 1.4448, 0.9569, 0.6337], ""p95_latency"": [123.8175, 139.6765, 137.4616, 129.5306, 125.8491, 127.0321, 129.2619, 130.0622, 129.5932, 128.9854], ""gc_pause_p99"": [49.5105, 65.7902, 64.1441, 56.5097, 52.6703, 53.5248, 55.6009, 56.4785, 56.1477, 55.5931], ""p50_latency"": [93.0829, 92.0332, 91.6833, 91.0386, 90.5249, 89.9599, 89.4216, 88.8766, 88.3392, 87.8032], ""error_rate"": [0.0205, 0.0158, 0.0158, 0.0157, 0.0157, 0.0156, 0.0156, 0.0155, 0.0155, 0.0155]}","{""p99_latency"": 700.0, ""p95_latency"": 500.0}"
ep_00009_BAD_DEPLOY,BAD_DEPLOY,238.0,pmdarima,120,,,0.8948,pmdarima auto_arima: noise_ratio=0.2026 -> fit_quality=0.5948; 120/20 history cycles -> data_quality=0.3000; total confidence=0.8948,False,"{""error_rate"": null, ""http_5xx_rate"": null}","{""error_rate"": -0.007537, ""http_5xx_rate"": -0.004524}","{""error_rate"": 0.4523, ""http_5xx_rate"": 0.2714, ""http_4xx_rate"": 0.1809, ""network_errors"": 10.0, ""p99_latency"": 162.59}","{""error_rate"": [0.4315, 0.4137, 0.3967, 0.3804, 0.3647, 0.3497, 0.3353, 0.3215, 0.3083, 0.2956], ""http_5xx_rate"": [0.2589, 0.2483, 0.2381, 0.2283, 0.2189, 0.2099, 0.2012, 0.1929, 0.185, 0.1774], ""http_4xx_rate"": [0.1726, 0.1655, 0.1587, 0.1521, 0.1459, 0.1399, 0.1341, 0.1286, 0.1233, 0.1182], ""network_errors"": [11.9277, 13.3061, 13.7455, 13.669, 13.4898, 13.3833, 13.3579, 13.37, 13.3858, 13.3937], ""p99_latency"": [164.8206, 159.6676, 154.6757, 149.8398, 145.1552, 140.617, 136.2207, 131.9619, 127.8362, 123.8395]}","{""error_rate"": 0.5, ""http_5xx_rate"": 0.4}"
ep_00010_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,238.0,pmdarima,120,51.51,upstream_timeout_rate,1.0,pmdarima auto_arima: noise_ratio=0.1223 -> fit_quality=0.7000; 120/20 history cycles -> data_quality=0.3000; total confidence=1.0000,True,"{""p99_latency"": 81.18, ""upstream_timeout_rate"": 51.51}","{""p99_latency"": 5.998195, ""upstream_timeout_rate"": 0.005086}","{""p99_latency"": 513.05, ""upstream_timeout_rate"": 0.238, ""network_errors"": 9.0, ""rps"": 185.75, ""error_rate"": 0.1904}","{""p99_latency"": [533.7362, 753.67, 753.67, 753.67, 753.67, 753.67, 753.67, 753.67, 753.67, 753.67], ""upstream_timeout_rate"": [0.2581, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446], ""network_errors"": [5.7057, 5.2221, 4.7794, 4.3743, 4.0036, 3.6642, 3.3536, 3.0694, 2.8092, 2.5711], ""rps"": [186.7271, 198.3104, 198.3104, 198.3104, 198.3104, 198.3104, 198.3104, 198.3104, 198.3104, 198.3104], ""error_rate"": [0.2065, 0.3556, 0.3556, 0.3556, 0.3556, 0.3556, 0.3556, 0.3556, 0.3556, 0.3556]}","{""p99_latency"": 1000.0, ""upstream_timeout_rate"": 0.5}"
ep_00012_RETRY_STORM,RETRY_STORM,238.0,pmdarima,120,0.0,rps,0.9443,pmdarima auto_arima: noise_ratio=0.1778 -> fit_quality=0.6443; 120/20 history cycles -> data_quality=0.3000; total confidence=0.9443,True,"{""retry_count_per_request"": null, ""error_rate"": null, ""rps"": 0.0}","{""retry_count_per_request"": -0.002865, ""error_rate"": -7.2e-05, ""rps"": 0.0}","{""retry_count_per_request"": 0.7185, ""error_rate"": 0.08, ""rps"": 631.08, ""active_connections"": 75.0, ""http_5xx_rate"": 0.0265, ""p99_latency"": 205.31}","{""retry_count_per_request"": [0.7127, 0.7068, 0.7009, 0.6951, 0.6893, 0.6836, 0.6779, 0.6723, 0.6667, 0.6611], ""error_rate"": [0.0809, 0.0785, 0.0785, 0.0784, 0.0784, 0.0784, 0.0784, 0.0784, 0.0784, 0.0784], ""rps"": [628.8597, 626.63, 624.4081, 622.1941, 619.988, 617.7897, 615.5992, 613.4164, 611.2414, 609.0741], ""active_connections"": [124.5259, 159.698, 170.2443, 167.4845, 162.4513, 159.6811, 159.1804, 159.6322, 160.0988, 160.2986], ""http_5xx_rate"": [0.0265, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025], ""p99_latency"": [208.9537, 211.5376, 212.3429, 212.1855, 211.8469, 211.6511, 211.6078, 211.6322, 211.6618, 211.6758]}","{""retry_count_per_request"": 2.0, ""error_rate"": 0.25, ""rps"": 500.0}"
