episode_id,failure_mode,elapsed_s,algorithm_used,history_steps,time_to_failure,earliest_ttf_feature,forecast_confidence,confidence_reason,threshold_crossed,feature_ttfs_json,feature_slopes_json,current_values_json,predictions_json,critical_thresholds_json
ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,238.0,linear,120,0.0,cache_miss_rate,0.3062,linear regression: R2=0.0062 -> fit_quality=0.0062; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3062,True,"{""cache_miss_rate"": 0.0, ""db_p99"": 37117.72}","{""cache_miss_rate"": 0.0, ""db_p99"": 0.011511}","{""cache_miss_rate"": 0.9124, ""db_p99"": 72.73, ""cache_hit_rate"": 0.0876, ""active_connections"": 206.0, ""p99_latency"": 87.28}","{""cache_miss_rate"": [0.9359, 0.936, 0.9361, 0.9362, 0.9363, 0.9364, 0.9365, 0.9366, 0.9367, 0.9368], ""db_p99"": [81.9742, 81.9972, 82.0203, 82.0433, 82.0663, 82.0893, 82.1123, 82.1354, 82.1584, 82.1814], ""cache_hit_rate"": [0.0641, 0.064, 0.0639, 0.0638, 0.0637, 0.0636, 0.0635, 0.0634, 0.0633, 0.0632], ""active_connections"": [251.7784, 251.6741, 251.5697, 251.4654, 251.361, 251.2567, 251.1523, 251.048, 250.9436, 250.8393], ""p99_latency"": [98.3679, 98.3955, 98.4231, 98.4507, 98.4783, 98.506, 98.5336, 98.5612, 98.5888, 98.6164]}","{""cache_miss_rate"": 0.9, ""db_p99"": 500.0}"
ep_00003_DISK_IO_SATURATION,DISK_IO_SATURATION,238.0,linear,120,,,0.3042,linear regression: R2=0.0042 -> fit_quality=0.0042; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3042,False,"{""iops_utilization"": null, ""queue_lag"": null, ""disk_read_latency"": null, ""disk_write_latency"": null}","{""iops_utilization"": -3.4e-05, ""queue_lag"": -0.008081, ""disk_read_latency"": -0.025292, ""disk_write_latency"": -0.016265}","{""iops_utilization"": 0.8887, ""queue_lag"": 15.0, ""disk_read_latency"": 87.32, ""disk_write_latency"": 100.92, ""rps"": 238.63, ""p99_latency"": 556.85}","{""iops_utilization"": [0.9148, 0.9147, 0.9146, 0.9146, 0.9145, 0.9144, 0.9144, 0.9143, 0.9142, 0.9142], ""queue_lag"": [9.6723, 9.6561, 9.6399, 9.6238, 9.6076, 9.5915, 9.5753, 9.5591, 9.543, 9.5268], ""disk_read_latency"": [96.5498, 96.4993, 96.4487, 96.3981, 96.3475, 96.2969, 96.2463, 96.1957, 96.1452, 96.0946], ""disk_write_latency"": [100.1192, 100.0867, 100.0541, 100.0216, 99.9891, 99.9566, 99.924, 99.8915, 99.859, 99.8264], ""rps"": [196.0265, 195.9133, 195.8001, 195.6868, 195.5736, 195.4603, 195.3471, 195.2338, 195.1206, 195.0074], ""p99_latency"": [794.1904, 797.3774, 800.5645, 803.7515, 806.9386, 810.1256, 813.3127, 816.4998, 819.6868, 822.8739]}","{""iops_utilization"": 95.0, ""queue_lag"": 50.0, ""disk_read_latency"": 500.0, ""disk_write_latency"": 500.0}"
ep_00004_LATENCY_SPIKE,LATENCY_SPIKE,238.0,linear,120,4649.82,p95_latency,0.3068,linear regression: R2=0.0068 -> fit_quality=0.0068; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3068,True,"{""p99_latency"": 6661.26, ""p95_latency"": 4649.82}","{""p99_latency"": 0.087072, ""p95_latency"": 0.0837}","{""p99_latency"": 119.99, ""p95_latency"": 110.81, ""gc_pause_p99"": 7.81, ""p50_latency"": 95.96, ""error_rate"": 0.01}","{""p99_latency"": [145.1693, 145.3435, 145.5176, 145.6917, 145.8659, 146.04, 146.2142, 146.3883, 146.5625, 146.7366], ""p95_latency"": [123.7408, 123.9082, 124.0756, 124.243, 124.4104, 124.5778, 124.7452, 124.9126, 125.08, 125.2474], ""gc_pause_p99"": [47.5113, 47.7059, 47.9005, 48.0951, 48.2898, 48.4844, 48.679, 48.8736, 49.0682, 49.2628], ""p50_latency"": [88.7467, 88.7395, 88.7323, 88.7251, 88.7178, 88.7106, 88.7034, 88.6962, 88.6889, 88.6817], ""error_rate"": [0.015, 0.015, 0.015, 0.0151, 0.0151, 0.0151, 0.0152, 0.0152, 0.0152, 0.0153]}","{""p99_latency"": 700.0, ""p95_latency"": 500.0}"
ep_00005_ERROR_STORM,ERROR_STORM,238.0,linear,120,,,0.3077,linear regression: R2=0.0077 -> fit_quality=0.0077; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3077,False,"{""error_rate"": null, ""http_5xx_rate"": null}","{""error_rate"": -0.000123, ""http_5xx_rate"": -8.6e-05}","{""error_rate"": 0.3392, ""http_5xx_rate"": 0.2374, ""network_errors"": 10.0, ""rps"": 177.7, ""p99_latency"": 139.87}","{""error_rate"": [0.4029, 0.4027, 0.4025, 0.4022, 0.402, 0.4017, 0.4015, 0.4012, 0.401, 0.4007], ""http_5xx_rate"": [0.2821, 0.2819, 0.2817, 0.2815, 0.2814, 0.2812, 0.281, 0.2809, 0.2807, 0.2805], ""network_errors"": [10.099, 10.1029, 10.1067, 10.1105, 10.1144, 10.1182, 10.1221, 10.1259, 10.1297, 10.1336], ""rps"": [197.5334, 197.5503, 197.5672, 197.5841, 197.6011, 197.618, 197.6349, 197.6518, 197.6687, 197.6857], ""p99_latency"": [133.8658, 133.8877, 133.9096, 133.9316, 133.9535, 133.9754, 133.9973, 134.0193, 134.0412, 134.0631]}","{""error_rate"": 0.5, ""http_5xx_rate"": 0.5}"
ep_00006_MEMORY_LEAK,MEMORY_LEAK,238.0,linear,120,6063.63,memory_utilization,0.8136,linear regression: R2=0.5136 -> fit_quality=0.5136; 120/20 history cycles -> data_quality=0.3000; total confidence=0.8136,True,"{""heap_mb"": 26846.43, ""memory_utilization"": 6063.63}","{""heap_mb"": 0.109195, ""memory_utilization"": 0.000103}","{""heap_mb"": 568.5, ""memory_utilization"": 0.2771, ""gc_pause_p99"": 33.63, ""error_rate"": 0.0113, ""rps"": 212.45}","{""heap_mb"": [555.8992, 556.1176, 556.336, 556.5544, 556.7728, 556.9912, 557.2096, 557.428, 557.6463, 557.8647], ""memory_utilization"": [0.284, 0.2843, 0.2845, 0.2847, 0.2849, 0.2851, 0.2853, 0.2855, 0.2857, 0.2859], ""gc_pause_p99"": [31.2108, 31.2774, 31.3441, 31.4107, 31.4774, 31.544, 31.6107, 31.6773, 31.744, 31.8106], ""error_rate"": [0.0057, 0.0056, 0.0056, 0.0055, 0.0054, 0.0053, 0.0053, 0.0052, 0.0051, 0.0051], ""rps"": [202.9417, 203.0375, 203.1333, 203.2291, 203.325, 203.4208, 203.5166, 203.6124, 203.7082, 203.804]}","{""heap_mb"": 3500.0, ""memory_utilization"": 0.9}"
ep_00007_CASCADING_FAILURE,CASCADING_FAILURE,238.0,exponential,120,0.0,p99_latency,0.3001,exponential regression: log-space R2=0.0001 -> fit_quality=0.0001; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3001,True,"{""p99_latency"": 0.0, ""error_rate"": 0.0, ""cpu_utilization"": 5902.1}","{""p99_latency"": 0.0, ""error_rate"": 0.0, ""cpu_utilization"": 0.001662}","{""p99_latency"": 1581.64, ""error_rate"": 0.5997, ""cpu_utilization"": 80.19, ""db_p99"": 310.89, ""active_connections"": 333.0, ""cache_miss_rate"": 0.6855}","{""p99_latency"": [1545.8634, 1545.8254, 1545.7874, 1545.7494, 1545.7114, 1545.6734, 1545.6354, 1545.5974, 1545.5594, 1545.5215], ""error_rate"": [0.5729, 0.5724, 0.5719, 0.5713, 0.5708, 0.5702, 0.5697, 0.5692, 0.5686, 0.5681], ""cpu_utilization"": [81.6661, 81.6694, 81.6727, 81.676, 81.6794, 81.6827, 81.686, 81.6893, 81.6927, 81.696], ""db_p99"": [213.7533, 214.9689, 216.1915, 217.421, 218.6575, 219.901, 221.1516, 222.4093, 223.6741, 224.9462], ""active_connections"": [316.9166, 317.0439, 317.1712, 317.2986, 317.4261, 317.5536, 317.6811, 317.8087, 317.9364, 318.0641], ""cache_miss_rate"": [0.6503, 0.6504, 0.6505, 0.6505, 0.6506, 0.6507, 0.6507, 0.6508, 0.6509, 0.6509]}","{""p99_latency"": 1500.0, ""error_rate"": 0.5, ""cpu_utilization"": 90.0}"
ep_00008_LATENCY_SPIKE,LATENCY_SPIKE,238.0,linear,120,5155.15,p99_latency,0.3104,linear regression: R2=0.0104 -> fit_quality=0.0104; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3104,True,"{""p99_latency"": 5155.15, ""p95_latency"": 7116.22}","{""p99_latency"": 0.11666, ""p95_latency"": 0.056697}","{""p99_latency"": 98.6, ""p95_latency"": 96.53, ""gc_pause_p99"": 21.97, ""p50_latency"": 92.51, ""error_rate"": 0.0213}","{""p99_latency"": [171.9812, 172.2145, 172.4478, 172.6811, 172.9145, 173.1478, 173.3811, 173.6144, 173.8477, 174.0811], ""p95_latency"": [136.4373, 136.5507, 136.6641, 136.7775, 136.8909, 137.0043, 137.1177, 137.2311, 137.3445, 137.4578], ""gc_pause_p99"": [68.6843, 68.8906, 69.0969, 69.3032, 69.5095, 69.7157, 69.922, 70.1283, 70.3346, 70.5409], ""p50_latency"": [88.4732, 88.4241, 88.375, 88.3259, 88.2768, 88.2277, 88.1786, 88.1295, 88.0804, 88.0313], ""error_rate"": [0.016, 0.016, 0.016, 0.016, 0.016, 0.0161, 0.0161, 0.0161, 0.0161, 0.0162]}","{""p99_latency"": 700.0, ""p95_latency"": 500.0}"
ep_00009_BAD_DEPLOY,BAD_DEPLOY,238.0,linear,120,,,0.308,linear regression: R2=0.0080 -> fit_quality=0.0080; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3080,False,"{""error_rate"": null, ""http_5xx_rate"": null}","{""error_rate"": -0.000143, ""http_5xx_rate"": -9e-05}","{""error_rate"": 0.4523, ""http_5xx_rate"": 0.2714, ""http_4xx_rate"": 0.1809, ""network_errors"": 10.0, ""p99_latency"": 162.59}","{""error_rate"": [0.5764, 0.5761, 0.5758, 0.5755, 0.5752, 0.5749, 0.5747, 0.5744, 0.5741, 0.5738], ""http_5xx_rate"": [0.3459, 0.3457, 0.3455, 0.3453, 0.3451, 0.345, 0.3448, 0.3446, 0.3444, 0.3443], ""http_4xx_rate"": [0.2306, 0.2304, 0.2303, 0.2302, 0.2301, 0.23, 0.2298, 0.2297, 0.2296, 0.2295], ""network_errors"": [13.0745, 13.069, 13.0635, 13.058, 13.0524, 13.0469, 13.0414, 13.0359, 13.0304, 13.0249], ""p99_latency"": [151.1995, 151.2493, 151.299, 151.3488, 151.3986, 151.4483, 151.4981, 151.5479, 151.5976, 151.6474]}","{""error_rate"": 0.5, ""http_5xx_rate"": 0.4}"
ep_00010_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,238.0,linear,120,6916.8,upstream_timeout_rate,0.3014,linear regression: R2=0.0014 -> fit_quality=0.0014; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3014,True,"{""p99_latency"": 7318.29, ""upstream_timeout_rate"": 6916.8}","{""p99_latency"": 0.066539, ""upstream_timeout_rate"": 3.8e-05}","{""p99_latency"": 513.05, ""upstream_timeout_rate"": 0.238, ""network_errors"": 9.0, ""rps"": 185.75, ""error_rate"": 0.1904}","{""p99_latency"": [764.7587, 764.8918, 765.0248, 765.1579, 765.291, 765.4241, 765.5572, 765.6902, 765.8233, 765.9564], ""upstream_timeout_rate"": [0.4515, 0.4516, 0.4517, 0.4518, 0.4518, 0.4519, 0.452, 0.4521, 0.4521, 0.4522], ""network_errors"": [15.2028, 15.2112, 15.2197, 15.2281, 15.2366, 15.245, 15.2535, 15.2619, 15.2704, 15.2788], ""rps"": [194.467, 194.4011, 194.3353, 194.2694, 194.2035, 194.1377, 194.0718, 194.006, 193.9401, 193.8743], ""error_rate"": [0.3612, 0.3613, 0.3613, 0.3614, 0.3615, 0.3615, 0.3616, 0.3616, 0.3617, 0.3618]}","{""p99_latency"": 1000.0, ""upstream_timeout_rate"": 0.5}"
ep_00012_RETRY_STORM,RETRY_STORM,238.0,exponential,120,0.0,rps,0.3118,exponential regression: log-space R2=0.0118 -> fit_quality=0.0118; 120/20 history cycles -> data_quality=0.3000; total confidence=0.3118,True,"{""retry_count_per_request"": 8148.27, ""error_rate"": null, ""rps"": 0.0}","{""retry_count_per_request"": 0.000157, ""error_rate"": -1.6e-05, ""rps"": 0.0}","{""retry_count_per_request"": 0.7185, ""error_rate"": 0.08, ""rps"": 631.08, ""active_connections"": 75.0, ""http_5xx_rate"": 0.0265, ""p99_latency"": 205.31}","{""retry_count_per_request"": [0.6822, 0.6825, 0.6828, 0.6831, 0.6834, 0.6837, 0.6841, 0.6844, 0.6847, 0.685], ""error_rate"": [0.0748, 0.0748, 0.0748, 0.0747, 0.0747, 0.0747, 0.0746, 0.0746, 0.0746, 0.0745], ""rps"": [610.1529, 610.3316, 610.5105, 610.6894, 610.8683, 611.0473, 611.2263, 611.4054, 611.5845, 611.7637], ""active_connections"": [143.6922, 143.6836, 143.675, 143.6664, 143.6578, 143.6492, 143.6407, 143.6321, 143.6235, 143.6149], ""http_5xx_rate"": [0.0239, 0.0239, 0.0239, 0.0239, 0.0239, 0.0239, 0.0239, 0.0239, 0.0238, 0.0238], ""p99_latency"": [215.9337, 216.0536, 216.1735, 216.2935, 216.4136, 216.5337, 216.6539, 216.7741, 216.8945, 217.0149]}","{""retry_count_per_request"": 2.0, ""error_rate"": 0.25, ""rps"": 500.0}"
