episode_id,incident_id,failure_mode,old_severity,new_severity,final_severity,decision,operator,reason,confidence,ttf_seconds,impact_band,urgency_band,is_large_jump,escalation_summary,response_ms,timeout_seconds,created_at,decided_at
ep_00001_CACHE_STAMPEDE,INC-5842,CACHE_STAMPEDE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:35.846589+00:00,2026-08-04T04:27:35.972373+00:00
ep_00007_CASCADING_FAILURE,INC-0075,CASCADING_FAILURE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:35.997966+00:00,2026-08-04T04:27:36.138105+00:00
ep_00010_DEPENDENCY_TIMEOUT,INC-9263,DEPENDENCY_TIMEOUT,P4,P3,P3,AUTO_APPROVED,system,No human response within timeout window.,1.0,51.51,nan,Near,0,P4 (Low) → P3 (Moderate) — 1-level jump,10,2,2026-08-04T04:27:36.183782+00:00,2026-08-04T04:27:36.318610+00:00
ep_00012_RETRY_STORM,INC-8213,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,0.9443,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:36.339850+00:00,2026-08-04T04:27:36.468766+00:00
ep_00013_BAD_DEPLOY,INC-0365,BAD_DEPLOY,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,3.99,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:36.489536+00:00,2026-08-04T04:27:36.621647+00:00
ep_00015_CASCADING_FAILURE,INC-8511,CASCADING_FAILURE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:36.653898+00:00,2026-08-04T04:27:36.785420+00:00
ep_00016_DEPENDENCY_TIMEOUT,INC-6297,DEPENDENCY_TIMEOUT,P4,P3,P3,AUTO_APPROVED,system,No human response within timeout window.,0.9285,86.54,nan,Near,0,P4 (Low) → P3 (Moderate) — 1-level jump,10,2,2026-08-04T04:27:36.804257+00:00,2026-08-04T04:27:36.932248+00:00
ep_00017_BAD_DEPLOY,INC-7208,BAD_DEPLOY,P4,P3,P3,AUTO_APPROVED,system,No human response within timeout window.,0.9566,35.01,nan,Near,0,P4 (Low) → P3 (Moderate) — 1-level jump,10,2,2026-08-04T04:27:36.953267+00:00,2026-08-04T04:27:37.083851+00:00
ep_00018_RETRY_STORM,INC-7266,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.103345+00:00,2026-08-04T04:27:37.233379+00:00
ep_00019_RETRY_STORM,INC-9870,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.247860+00:00,2026-08-04T04:27:37.377271+00:00
ep_00021_RETRY_STORM,INC-2508,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.404257+00:00,2026-08-04T04:27:37.536893+00:00
ep_00022_RETRY_STORM,INC-1157,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.555097+00:00,2026-08-04T04:27:37.681967+00:00
ep_00023_DEPENDENCY_TIMEOUT,INC-1140,DEPENDENCY_TIMEOUT,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.698790+00:00,2026-08-04T04:27:37.823828+00:00
ep_00024_RETRY_STORM,INC-5267,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.842104+00:00,2026-08-04T04:27:37.969823+00:00
ep_00026_CASCADING_FAILURE,INC-5088,CASCADING_FAILURE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:37.984438+00:00,2026-08-04T04:27:38.112496+00:00
ep_00029_RETRY_STORM,INC-5386,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:38.130963+00:00,2026-08-04T04:27:38.259973+00:00
ep_00030_RETRY_STORM,INC-2246,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:38.279228+00:00,2026-08-04T04:27:38.405110+00:00
ep_00031_DB_SLOWDOWN,INC-3589,DB_SLOWDOWN,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,0.9546,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:38.423558+00:00,2026-08-04T04:27:38.551568+00:00
ep_00032_QUEUE_BACKUP,INC-7599,QUEUE_BACKUP,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:27:38.568293+00:00,2026-08-04T04:27:38.689655+00:00
