episode_id,failure_mode,service,elapsed_s,timestamp,log_level,exception_type,log_message
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,0.0,1785922612.8270116,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.20% p99=115ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,0.5,1785922613.327091,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.22% p99=89ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,1.0,1785922613.827685,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.74% p99=118ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,1.5,1785922614.3282375,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.34% p99=129ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,2.0,1785922614.8288693,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.19% p99=102ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,2.5,1785922615.3293128,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.33% p99=145ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,3.0,1785922615.8295898,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.79% p99=131ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,3.5,1785922616.329957,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.96% p99=133ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,4.0,1785922616.8301766,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.28% p99=101ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,4.5,1785922617.3306072,ERROR,SocketTimeoutException,ERROR upstream_timeout=0.00% p99=89ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,5.0,1785922617.8308473,ERROR,SocketTimeoutException,ERROR upstream_timeout=46.82% p99=830ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,5.5,1785922618.3311682,ERROR,SocketTimeoutException,ERROR upstream_timeout=48.56% p99=720ms
live_ep_000004_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,inventory-service,6.0,1785922618.831297,ERROR,SocketTimeoutException,ERROR upstream_timeout=49.70% p99=854ms
