episode_id,failure_mode,service,source,elapsed_s,timestamp,active_connections,cache_hit_rate,cache_miss_rate,circuit_breaker_state,cpu_saturation,cpu_utilization,db_connection_pool,db_connection_wait,db_p99,disk_read_latency,disk_write_latency,error_rate,gc_pause_p99,heap_mb,http_4xx_rate,http_5xx_rate,iops_utilization,memory_utilization,network_errors,p50_latency,p95_latency,p99_latency,queue_lag,retry_count_per_request,rps,thread_pool_queue,upstream_timeout_rate
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,0.0,1785987808.048335,111,0.99,0.01,closed,0.366,36.6,0.4413,5.38,20.0,3.23,7.78,0.0002,28.17,515.9,0.0046,0.0003,0.2915,0.2728,2,90.43,41.04,30.0,10,0.062,164.77,9,0.0213
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,0.5,1785987808.548435,66,0.9456,0.0544,closed,0.3779,37.79,0.3507,1.0,20.0,3.43,8.2,0.0,2.0,507.6,0.0016,0.0011,0.1785,0.1864,3,103.22,75.51,30.0,13,0.0009,175.3,2,0.0023
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,1.0,1785987809.0489514,34,0.9401,0.0599,closed,0.3531,35.31,0.4561,14.88,28.42,5.98,5.73,0.0092,2.0,526.5,0.0039,0.0053,0.2212,0.21,0,88.13,77.25,42.63,14,0.0276,193.42,13,0.0321
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,1.5,1785987809.549243,69,0.9607,0.0393,closed,0.4115,41.15,0.3197,19.69,20.0,5.87,6.62,0.0222,16.45,514.5,0.0005,0.0117,0.1984,0.2149,2,85.05,81.19,30.0,8,0.0155,176.7,0,0.0158
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,2.0,1785987810.0497005,52,0.9608,0.0392,closed,0.3465,34.65,0.1396,18.77,20.0,2.55,4.0,0.0,9.56,493.8,0.0031,0.0006,0.3061,0.2328,3,81.24,34.95,30.0,8,0.0139,164.21,11,0.0125
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,2.5,1785987810.550056,92,0.9557,0.0443,closed,0.3554,35.54,0.3107,5.94,21.06,6.08,5.92,0.007,5.68,525.1,0.0005,0.0039,0.2179,0.2561,4,94.12,93.79,31.6,5,0.0231,198.34,13,0.0035
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,3.0,1785987811.050628,29,0.9234,0.0766,closed,0.3517,35.17,0.3144,19.33,20.0,4.42,5.02,0.0055,35.58,528.1,0.006,0.0081,0.1929,0.2221,1,93.88,42.09,30.0,15,0.0396,201.28,10,0.0023
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,3.5,1785987811.5511365,25,0.986,0.014,closed,0.3511,35.11,0.3083,1.0,25.41,2.27,4.13,0.0009,10.83,497.3,0.0019,0.0082,0.2351,0.1996,3,93.29,70.88,35.93,14,0.0059,184.36,2,0.0032
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,4.0,1785987812.0521088,111,0.8936,0.1064,closed,0.3634,36.34,0.3241,3.23,25.05,4.93,12.52,0.0,7.42,528.5,0.0027,0.002,0.2087,0.2672,3,98.61,62.89,37.58,2,0.0587,166.38,9,0.0051
live_ep_000041_DB_SLOWDOWN,DB_SLOWDOWN,order-service,python-simulator,4.5,1785987812.5522847,95,0.88,0.12,closed,0.3918,39.18,0.2513,14.45,32.92,4.79,6.22,0.0,2.53,529.3,0.0038,0.0025,0.276,0.2573,2,95.76,59.4,49.38,15,0.0216,144.9,5,0.0099
