episode_id,failure_mode,service,elapsed_s,timestamp,span_id,parent_span_id,span_name,db_operation_type,span_duration_ms,span_status,peer_service,service_version,trace_id
live_ep_000040_NONE,NONE,order-service,0.0,1785987769.1526551,62e01fdb6e524cf58c249ec9a3e4198a,,PUT /api/inventory,,133.73,OK,order-service,v1.1.0,8e94bb0e303a4151a6ecc8bdb60a9485
live_ep_000040_NONE,NONE,order-service,0.0,1785987769.1526551,719a73e9737a4f8f9d410771b1dc84db,62e01fdb6e524cf58c249ec9a3e4198a,db.query.select,WRITE,12.82,OK,user-db,v1.1.0,8e94bb0e303a4151a6ecc8bdb60a9485
live_ep_000040_NONE,NONE,order-service,0.0,1785987769.1526551,abbe89727fdd46188737a7a62bf011bf,62e01fdb6e524cf58c249ec9a3e4198a,db.query.insert,WRITE,23.89,OK,user-db,v1.1.0,8e94bb0e303a4151a6ecc8bdb60a9485
live_ep_000040_NONE,NONE,order-service,0.0,1785987769.1526551,cfe1a467f3d94303a13c7a9ebfcdd3dd,62e01fdb6e524cf58c249ec9a3e4198a,cache.delete,,1.84,OK,cache-cluster,v1.1.0,8e94bb0e303a4151a6ecc8bdb60a9485
live_ep_000040_NONE,NONE,order-service,0.0,1785987769.1526551,719b40b607d64efcb1415e24338c8691,62e01fdb6e524cf58c249ec9a3e4198a,grpc.call,,33.3,OK,cache-cluster,v1.1.0,8e94bb0e303a4151a6ecc8bdb60a9485
live_ep_000040_NONE,NONE,order-service,0.1,1785987769.2527506,9efa1ccef92a4477964659ad7ec95ec8,,POST /api/payment,,115.83,OK,order-service,v1.1.0,a7cbe562d4d54555862ad7120c4654c0
live_ep_000040_NONE,NONE,order-service,0.1,1785987769.2527506,8b91c126d0164ec583983fbe29afae7b,9efa1ccef92a4477964659ad7ec95ec8,db.transaction,WRITE,28.93,OK,user-db,v1.1.0,a7cbe562d4d54555862ad7120c4654c0
live_ep_000040_NONE,NONE,order-service,0.1,1785987769.2527506,8d78a18150db4803b47101c11986cb2c,9efa1ccef92a4477964659ad7ec95ec8,db.query.update,READ,16.02,OK,user-db,v1.1.0,a7cbe562d4d54555862ad7120c4654c0
live_ep_000040_NONE,NONE,order-service,0.1,1785987769.2527506,240b01d7cd8a437696dd26ea5d0c9f19,9efa1ccef92a4477964659ad7ec95ec8,cache.set,,0.86,OK,cache-cluster,v1.1.0,a7cbe562d4d54555862ad7120c4654c0
live_ep_000040_NONE,NONE,order-service,0.2,1785987769.3530433,ed149154a2df42ea82e0343bcc564e8a,,GET /api/order,,80.04,OK,order-service,v1.1.0,5761378024ca4815bb32bff2c40a550a
live_ep_000040_NONE,NONE,order-service,0.2,1785987769.3530433,447cdee8f5d2443cacbbc5cb7390ef7e,ed149154a2df42ea82e0343bcc564e8a,db.query.update,READ,26.48,OK,user-db,v1.1.0,5761378024ca4815bb32bff2c40a550a
live_ep_000040_NONE,NONE,order-service,0.2,1785987769.3530433,c042630e9a4645c3925011dd69f5a3dc,ed149154a2df42ea82e0343bcc564e8a,cache.get,,0.68,OK,cache-cluster,v1.1.0,5761378024ca4815bb32bff2c40a550a
live_ep_000040_NONE,NONE,order-service,0.2,1785987769.3530433,c659502dbeb1431993889153b110d072,ed149154a2df42ea82e0343bcc564e8a,http.client.get,,34.45,OK,inventory-api,v1.1.0,5761378024ca4815bb32bff2c40a550a
live_ep_000040_NONE,NONE,order-service,0.3,1785987769.4533412,685f76deea924871af67c46c64b89c6b,,GET /api/order,,119.21,OK,order-service,v1.1.0,5fb7539347bf40bcae1ed1feba645aca
live_ep_000040_NONE,NONE,order-service,0.3,1785987769.4533412,3955bfdb3bf1498d95c602888d6d7a76,685f76deea924871af67c46c64b89c6b,db.transaction,READ,14.43,OK,user-db,v1.1.0,5fb7539347bf40bcae1ed1feba645aca
live_ep_000040_NONE,NONE,order-service,0.3,1785987769.4533412,814f3d698e0a4df7a113879bc92394e7,685f76deea924871af67c46c64b89c6b,cache.set,,2.41,OK,cache-cluster,v1.1.0,5fb7539347bf40bcae1ed1feba645aca
live_ep_000040_NONE,NONE,order-service,0.3,1785987769.4533412,5f12c0ac58214612b1944ebdda115405,685f76deea924871af67c46c64b89c6b,http.client.post,,34.32,OK,payment-gateway,v1.1.0,5fb7539347bf40bcae1ed1feba645aca
live_ep_000040_NONE,NONE,order-service,0.4,1785987769.5535483,ed28fa59ee1140508a1778208c2707fd,,GET /api/health,,114.73,OK,order-service,v1.1.0,1f09e23e5fd74b3a92764361d1df741c
live_ep_000040_NONE,NONE,order-service,0.4,1785987769.5535483,006d0727c42f4586a66a2a928f71175e,ed28fa59ee1140508a1778208c2707fd,db.query.select,READ,12.3,OK,user-db,v1.1.0,1f09e23e5fd74b3a92764361d1df741c
