episode_id,incident_id,failure_mode,old_severity,new_severity,final_severity,decision,operator,reason,confidence,ttf_seconds,impact_band,urgency_band,is_large_jump,escalation_summary,response_ms,timeout_seconds,created_at,decided_at
ep_00001_CACHE_STAMPEDE,INC-0825,CACHE_STAMPEDE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:04.835756+00:00,2026-08-04T04:29:04.955697+00:00
ep_00007_CASCADING_FAILURE,INC-5387,CASCADING_FAILURE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:04.976602+00:00,2026-08-04T04:29:05.111860+00:00
ep_00010_DEPENDENCY_TIMEOUT,INC-7076,DEPENDENCY_TIMEOUT,P4,P3,P3,AUTO_APPROVED,system,No human response within timeout window.,1.0,51.51,nan,Near,0,P4 (Low) → P3 (Moderate) — 1-level jump,10,2,2026-08-04T04:29:05.135625+00:00,2026-08-04T04:29:05.275278+00:00
ep_00012_RETRY_STORM,INC-6625,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,0.9443,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:05.320295+00:00,2026-08-04T04:29:05.456202+00:00
ep_00013_BAD_DEPLOY,INC-0653,BAD_DEPLOY,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,3.99,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:05.479372+00:00,2026-08-04T04:29:05.617168+00:00
ep_00015_CASCADING_FAILURE,INC-5785,CASCADING_FAILURE,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:05.640854+00:00,2026-08-04T04:29:05.777790+00:00
ep_00016_DEPENDENCY_TIMEOUT,INC-9181,DEPENDENCY_TIMEOUT,P4,P3,P3,AUTO_APPROVED,system,No human response within timeout window.,0.9285,86.54,nan,Near,0,P4 (Low) → P3 (Moderate) — 1-level jump,10,2,2026-08-04T04:29:05.804002+00:00,2026-08-04T04:29:05.938306+00:00
ep_00017_BAD_DEPLOY,INC-6189,BAD_DEPLOY,P4,P3,P3,AUTO_APPROVED,system,No human response within timeout window.,0.9566,35.01,nan,Near,0,P4 (Low) → P3 (Moderate) — 1-level jump,10,2,2026-08-04T04:29:05.964677+00:00,2026-08-04T04:29:06.104717+00:00
ep_00018_RETRY_STORM,INC-8406,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:06.152327+00:00,2026-08-04T04:29:06.292526+00:00
ep_00019_RETRY_STORM,INC-3169,RETRY_STORM,P4,P2,P2,AUTO_APPROVED,system,No human response within timeout window.,1.0,0.0,nan,Imminent,1,P4 (Low) → P2 (High) — 2-level jump ⚠ LARGE JUMP,10,2,2026-08-04T04:29:06.319543+00:00,2026-08-04T04:29:06.455152+00:00
