episode_id,failure_mode,failure_group,preliminary_severity,ttf_seconds,event,revised_severity,total_window_s,data_source,ttr_seconds
ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.119941
ep_00003_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00004_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00005_ERROR_STORM,ERROR_STORM,Immediate trigger,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00006_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00007_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.135258
ep_00008_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P4,238.0,0,P4,238.0,right_censored,
ep_00009_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P4,238.0,0,P4,238.0,right_censored,
ep_00010_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P4,51.51,1,P3,238.0,auto_arima_forecast,0.139653
ep_00012_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.135907
ep_00013_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P4,3.99,1,P2,238.0,auto_arima_forecast,0.137796
ep_00015_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.136936
ep_00016_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P4,86.54,1,P3,238.0,auto_arima_forecast,0.134304
ep_00017_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P4,35.01,1,P3,238.0,auto_arima_forecast,0.14004
ep_00018_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.140199
ep_00019_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.135609
ep_00020_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P4,238.0,0,P4,238.0,right_censored,
ep_00021_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.132973
ep_00022_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.130358
ep_00023_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.129007
ep_00024_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.13454
ep_00025_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P4,137.39,1,P4,238.0,auto_arima_forecast,
ep_00026_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.129408
ep_00027_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00028_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P4,238.0,0,P4,238.0,right_censored,
ep_00029_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.132075
ep_00030_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.12782
ep_00031_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.129887
ep_00032_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.133145
ep_00034_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.132715
ep_00036_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.121211
ep_00037_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00038_RETRY_STORM,RETRY_STORM,Fast accumulation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.163001
ep_00039_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P4,0.1,1,P2,238.0,auto_arima_forecast,0.140347
ep_00040_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.130145
ep_00041_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00042_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P4,0.1,1,P2,238.0,auto_arima_forecast,0.126161
ep_00043_ERROR_STORM,ERROR_STORM,Immediate trigger,P4,238.0,0,P4,238.0,right_censored,
ep_00044_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P4,238.0,0,P4,238.0,right_censored_beyond_window,
ep_00046_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00047_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.134969
ep_00048_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.125233
ep_00049_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,16.59,1,P1,238.0,auto_arima_forecast,0.128702
ep_00050_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.12929
ep_00051_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128265
ep_00052_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.125101
ep_00053_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129978
ep_00054_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.125857
ep_00055_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00056_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.131939
ep_00057_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.136297
ep_00058_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.131255
ep_00059_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127725
ep_00060_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127692
ep_00062_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.132592
ep_00063_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.131691
ep_00064_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00066_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00067_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00068_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00070_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00071_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.124346
ep_00072_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00073_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00074_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.126244
ep_00075_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129797
ep_00076_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00077_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,14.53,1,P1,238.0,auto_arima_forecast,0.129342
ep_00079_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored,
ep_00080_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.131933
ep_00081_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.130524
ep_00082_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.126738
ep_00083_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00084_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00085_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.130199
ep_00086_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129305
ep_00087_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00088_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00089_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.125181
ep_00090_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00091_CPU_SATURATION,CPU_SATURATION,Immediate trigger,P3,227.56,1,P3,238.0,auto_arima_forecast,
ep_00092_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00093_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00094_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.126348
ep_00095_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00096_QUEUE_BACKUP,QUEUE_BACKUP,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.127326
ep_00098_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00099_MEMORY_LEAK,MEMORY_LEAK,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00100_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128798
ep_00101_DISK_IO_SATURATION,DISK_IO_SATURATION,Progressive resource degradation,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00102_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.133361
ep_00103_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00104_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
ep_00105_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,51.86,1,P2,238.0,auto_arima_forecast,0.129703
ep_00107_ERROR_STORM,ERROR_STORM,Immediate trigger,P3,238.0,0,P3,238.0,right_censored_beyond_window,
ep_00108_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.130239
ep_00110_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.128977
ep_00111_CACHE_STAMPEDE,CACHE_STAMPEDE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.132781
ep_00112_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129421
ep_00113_DB_SLOWDOWN,DB_SLOWDOWN,Slow or latent degradation,P3,0.1,1,P3,238.0,auto_arima_forecast,
ep_00114_RETRY_STORM,RETRY_STORM,Fast accumulation,P3,0.1,1,P1,238.0,auto_arima_forecast,0.129583
ep_00116_LATENCY_SPIKE,LATENCY_SPIKE,Slow or latent degradation,P3,238.0,0,P3,238.0,right_censored,
